Sentence,Sentiment
"Between the ”Let Loose” iPad event in May, the iPhone 16 “It’s Glowtime” event in September and the Mac Week non-event in October, Apple has been busy releasing a slew of new iPads, Macs, Apple Watches, MacBooks and more for 2024. ",neutral
The M4 MacBook Pro Might Be Hiding a Significant Screen Upgrade,neutral
"A US judge sentences Russian-Swedish national Roman Sterlingov to 12.5 years for operating crypto mixer Bitcoin Fog from 2011 to 2021, laundering ~$400M (Sabrina Willmer/Bloomberg)",negative
"Bitcoin Pushes Past $90,000",positive
Markets and Bitcoin are soaring.,positive
"The crypto market is bracing for a pivotal earnings week, as the performance of the stock market is likely to impact digital assets as well.",neutral
"AirTags help you locate your items, even if you're thousands of kilometers away, thanks to the Apple network.",neutral
"The leading cryptocurrency, Bitcoin, remains steady at $68,000, where it has hovered for the past week, as traders awa",neutral
"U.S. stocks climbed on Friday, with all three major indices advancing toward solid weekly gains.",positive
Apple Intelligence starts rolling out with iOS 18.1 and macOS 15.1,neutral
"The Dow Jones jumps over 1,300 points after Trump wins the election",positive
It’s round four for the iMac on Apple silicon. ,neutral
"The guy who spent 10,000 Bitcoin on a pizza probably would warn you against doing this.",negative
Bitcoin is better than gold — even as gold hits record highs. ,positive
"Cryptocurrency backers continue to bid up Bitcoin prices, pushing the digital token to a new high of about $84,000 on Monday.",positive
MicroStrategy purchases another $5.4 Billion in bitcoin,positive
"‘The price is hard to swallow’: Robert Kiyosaki cringes as he pays $14 for an egg salad sandwich, warns of ‘everything bubble’ and ‘major stock market crash.’ What he likes for protection",negative
"The US dollar, Treasury yields, and stock futures traded up on higher betting market odds of a Trump win.",positive
"Apple doesn't discount its new MacBook Pro M4 models on the Apple Store, but Amazon is slashing prices.",negative
"Bitcoin rally slows as it nears $90,000 — now with a bigger market cap than silver",neutral
"Apple devices have a few things in common: they’re well-designed, solidly built and easily connect with one another. ",neutral
Apple TV+ also released a season one recap ahead of the Rebecca Ferguson sci-fi show's November 15 return.,neutral
That’s why promos like Black Friday are always worth checking out,positive
"Following the illustrious line of calendar-spanning corporate events like Lobsterfest and Shark Week, Apple tried something new this year with a celebration unofficially known as Mac Week. ",neutral
"The 44 Black Friday tech deals worth shopping right now from Amazon, Walmart, Target, Apple and others",neutral
The Dow surges 475 points as stocks and Bitcoin continue to rally on Trump's victory,positive
"This iPad is one of the best you'll find in Apple's lineup, and you can get one for one of its lowest prices yet right now.",positive
"So, That’s The Beginning Of Bitcoin Then",neutral
The era of double-digit growth in the stock market may be coming to an end.,negative
iPhone 17 ‘Slim’ rumors are still floating around,neutral
Rumors are swirling that a country has been quietly buying up bitcoin.,neutral
"Following Donald Trump’s reelection, the crypto community has continued to rally behind his return to the White House.",neutral
The Morning After: Amazon’s got a 21-inch Echo Show,neutral
"Bitcoin breaks through $94,000 for the first time — and it's getting less volatile",positive
"Bitcoin just surpassed $77,000 — a new all-time high",positive
But the days in which you had to wait for Black Friday proper to get good deals have long been behind us. ,negative
Bitcoin's $100K dream is closer than ever,positive
Dogecoin spikes another 15% after Musk appointed to lead DOGE department for Trump,positive
"Apple today shared a new Apple Pay ad ahead of the holidays, promoting the service's ease of use for online shopping. ",neutral
Beats Solo 4 at 50% Off: Did Amazon Get Apple’s Approval for This Insane Price?,negative
"As part of his overtures to the crypto industry, Donald Trump has promised to fire embattled SEC chair Gary Gensler on ‘day one.’",negative
The European Union has accused Apple of unlawfully applying geo-blocking measures that discriminate against EU customers and violate consumer protection rules.,negative
Why Spend $700 on an Apple Watch When You Can Get The Apple Watch SE For Just $169?,negative
"World's popular digital currency rises as high as $99,073 on expectations Trump will ease legal and regulatory hurdles.",positive
"Pennsylvania advances Bitcoin legislation with a Bitcoin Rights Bill and proposed Strategic Reserve, sparking debate on crypto's role in state and national public funds.",neutral
"Bitcoin smashes $98,000 mark—$100K now within easy reach",positive
"The 'Doge' dog meme that Elon Musk loves, explained in 1 minute",neutral
"In the latest iOS 18.2 beta, there's a mention of a ""Ten Year Celebration"" with references to an activity achievement, so it s",neutral
"Dogecoin spiked again on Wednesday after Donald Trump appointed Elon Musk to help lead the Department of Government Efficiency, or DOGE.",positive
"Bitcoin has surged to new heights, breaking the all-time record just hours after it soared past $75,000 on Tuesday night.",positive
